Area,Mean,sample
192732,1043.835,exo70
145196,882.431,exo70
92677,883.148,exo70
179494,946.186,exo70
155260,1019.174,exo70
102250,920.544,exo84
49496,925.759,exo84
99209,950.168,exo84
127128,910.568,exo84
65126,992.32,exo84
162982,1187.759,sec5
210432,1128.505,sec5
107460,997.329,sec5
113634,979.42,sec5
107368,1096.836,sec5
301435,892.616,sec8
314679,978.088,sec8
405414,932.472,sec8
307883,866.19,sec8
251027,936.365,sec8
281218,1121.668,sec10
207676,1325.934,sec10
208587,1139.411,sec10
120512,1222.709,sec10
151847,1160.411,sec10
148743,1133.719,sec15
106974,1259.869,sec15
114121,921.222,sec15
99659,1028.915,sec15
118899,1135.933,sec15
