,label,area,equivalent_diameter,mean_intensity,max_intensity,filename,area_sq_microns,total_intensity
0,2,2506,56.48662053182433,5587.478052673583,6493,Exo70GFP_SA_e2500_w2,10.4255865,14002220.0
1,3,3631,67.99362313433059,5873.380611401818,27032,Exo70GFP_SA_e2500_w2,15.10586775,21326245.0
2,4,2874,60.49206932787849,5166.594989561587,5915,Exo70GFP_SA_e2500_w2,11.9565585,14848794.0
3,5,1012,35.89593875735784,7593.341897233202,14315,Exo70GFP_SA_e2500_w2,4.210173,7684462.0
4,6,2854,60.28122145970629,5396.801331464611,6414,Exo70GFP_SA_e2500_w2,11.8733535,15402471.0
5,7,3852,70.03226917871395,5381.642004153687,6158,Exo70GFP_SA_e2500_w2,16.025282999999998,20730085.0
6,8,3418,65.9691804095275,5224.8540081919255,7076,Exo70GFP_SA_e2500_w2,14.2197345,17858551.0
7,9,2692,58.5453743213506,5244.296805349183,10151,Exo70GFP_SA_e2500_w2,11.199392999999999,14117647.000000002
8,10,2172,52.58779602878194,5274.58517495396,6255,Exo70GFP_SA_e2500_w2,9.036063,11456399.0
9,11,2774,59.43034996611867,5454.90302811824,6480,Exo70GFP_SA_e2500_w2,11.5405335,15131900.999999998
10,12,1936,49.64868335220255,5422.304752066116,14120,Exo70GFP_SA_e2500_w2,8.054244,10497582.0
11,13,3736,68.96972480103547,5774.3509100642395,24241,Exo70GFP_SA_e2500_w2,15.542694,21572975.0
12,14,2524,56.68912250962746,5609.217908082409,10019,Exo70GFP_SA_e2500_w2,10.500471,14157666.0
13,15,2626,57.823239657377705,5804.435262757045,8288,Exo70GFP_SA_e2500_w2,10.9248165,15242447.0
14,17,2169,52.55146594083335,5997.225449515906,8266,Exo70GFP_SA_e2500_w2,9.02358225,13007982.0
15,18,2172,52.58779602878194,5391.59438305709,10067,Exo70GFP_SA_e2500_w2,9.036063,11710543.0
16,20,2522,56.666658025880444,5887.423869944489,17118,Exo70GFP_SA_e2500_w2,10.4921505,14848083.0
17,21,1655,45.90437284765684,5930.039879154078,9404,Exo70GFP_SA_e2500_w2,6.88521375,9814216.0
18,23,2076,51.41250134811764,6326.75626204239,9068,Exo70GFP_SA_e2500_w2,8.636678999999999,13134346.0
19,24,1261,40.06937815727916,5698.550356859635,8520,Exo70GFP_SA_e2500_w2,5.24607525,7185872.0
20,25,1820,48.13830046250071,6500.513736263736,9721,Exo70GFP_SA_e2500_w2,7.571655,11830935.0
0,2,2937,61.15148847646452,2515.6697310180457,3095,Exo84GFP_30C_e2500_w,12.21865425,7388522.0
